"Treat","Plant","Leaf","Rep","CO2.set","DOY","Time","CO2.meas","Plant.1","Leaf.1","Leaf.unique","Tset","Rep.1","Curve.unique","Rep.total","Tleaf","Ci","Ci.org","Photo","Photo.org","Cond","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","TBlk","CO2.set.1","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","EBal.","Tk"
"c.w",3,1,15,400,270,12.69388889,400,3,1,31,31,15,NA,27,35.25656509,254.2,249.5317322,8.957711203,9.304815211,0.120786412,2.212249709,1.83004991,35.25656509,6,1.420000017,1,2.840000033,32.97725677,31.23224068,400,399,386.9421997,36.18649673,38.73635101,72.18904114,77.27578735,500.3945313,1499.552368,297.2284241,100.6565933,-2.20135498,-0.234182119,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833990885,0.00221225,308.4065651,306.1272568,239.9283735,1.329861633,5.729119041,56.91747407,18.18112306,34.11691093,5.377952467,0.115858884,3.899069131,1.478883336,0.072838955,25.27868712,0.64903212,67.82115536,382.5755935,0.016284579,0,308.40656509
"c.w",2,1,16,400,269,9.343333333,800,2,1,21,38,16,NA,33,40.19893265,319,316.550708,8.395956896,8.765987494,0.253496952,4.796477586,1.94481825,40.19893265,6,1.420000017,1,2.840000033,38.98109436,38.10057068,400,400,387.5808105,49.55976105,54.99451447,71.22611237,79.0368042,500.4125061,1499.711304,483.030304,100.8825836,3.636883736,-1.327666521,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834020844,0.004796478,313.3489326,312.1310944,239.9538032,0.14350567,7.492806954,74.27255217,19.2780377,39.5900135,7.252806712,0.232724117,5.547988704,1.704818008,0.147186371,32.14348453,0.822080775,74.52458136,383.561212,0.016429794,0,313.34893265
"w.c",2,1,16,400,268,12.49666667,400,2,1,121,39.5,16,NA,33,40.83454132,285.2,283.1057978,13.10772958,13.46286365,0.282406601,7.225790936,2.653092602,40.83454132,6,1.420000017,1,2.840000033,40.0017395,39.65716934,400,400,380.6179199,42.3625145,50.60256577,57.5569458,68.75251007,499.5221863,1499.480591,321.4161072,100.7369156,2.60332489,-1.274043083,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832536977,0.007225791,313.9845413,313.1517395,239.9168892,-1.04029014,7.750638998,76.93941146,26.33684569,40.41814041,7.580874902,0.256864288,5.097546396,2.483328506,0.162654937,28.59779371,0.745855417,66.7446373,374.2799782,0.023776756,0,313.98454132
"w.w",2,1,16,400,254,9.8908333335,800,2,1,121,36,16,NA,16,36.787605285,293.45,291.8282127,16.96993577,17.354685715,0.4177601855,6.3340103085,1.6616173075,36.787605285,6,1.420000017,1,2.840000033,36.192586895,36.143333435,400,399.5,375.7801361,38.02855301,45.28011131,63.63391113,75.76810455,500.35073855,1499.7440185,213.4394913,100.9394455,1.1263256075,-0.498780608,0.8333333435,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8339178975,0.00633401,309.9376053,309.3425869,239.9590376,-0.547472535,6.232166965,61.74163781,16.461526495,36.490096095,6.131512901,0.3641881875,4.570549657,1.5609632435,0.2318923075,29.597939745,0.780311265,75.44275207,367.68659145,0.0349368465,0,309.937605285
"c.w",3,1,16,400,263,8.961944444,800,3,1,31,25,16,NA,28,29.31369019,192.4,187,12.65945344,13.03409642,0.114096639,1.881534634,1.677311553,29.31369019,6,1.420000017,1,2.840000033,26.06193161,25.02442932,400,400,383.8782654,21.72887802,23.9313755,64.8282547,71.39942169,500.2975769,1498.563599,1.072986364,101.0407486,0.506899357,-0.044045568,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833829295,0.001881535,302.4636902,299.2119316,239.7701704,1.397235254,4.095355649,40.53172315,16.60034764,27.6878109,3.726321164,0.109689863,2.418044096,1.308277068,0.068938919,19.35314098,0.498955003,59.31406534,377.8325479,0.019965986,0,302.46369019
"w.c",2,1,17,400,269,11.80833333,400,2,1,121,40,17,NA,34,41.09114456,301,299.1582262,12.72686449,13.08094988,0.336512525,7.731593343,2.420625163,41.09114456,6,1.420000017,1,2.840000033,40.39361572,40.05009842,400,401,381.4427795,45.1362381,53.90896606,60.119133,71.80395508,500.2861938,1499.906372,136.9882202,100.841507,2.977749825,-1.413214922,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833810323,0.007731593,314.2411446,313.5436157,239.9850142,-1.276919707,7.85688654,77.91322023,24.00425417,40.74238014,7.712784321,0.300863152,5.436261376,2.276522945,0.190947321,30.23397143,0.786007107,70.51123286,375.2857036,0.024336346,0,314.24114456
"w.w",2,1,17,400,256,9.327638889,800,2,1,121,30,17,NA,17,33.189834595,252.8,249.90434245,15.090478425,15.4707344,0.22241482,4.425754287,2.083743936,33.189834595,6,1.420000017,1,2.840000033,30.893679615,30.10154915,400,400,379.3782959,24.74994564,29.898736955,55.791116715,67.400627135,500.3235779,1499.428833,48.640954975,101.1049957,2.759954929,-0.268064447,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8338726295,0.0044257545,306.3398346,304.0436796,239.90860795,0.194473945,5.1066557035,50.508440405,20.60970345,32.04175711,4.786563664,0.2062510815,3.022911767,1.763651896,0.1302677565,25.513003525,0.665143647,60.55034947,372.1776386,0.0246582255,0,306.339834595
"c.w",2,1,18,400,270,13.155,400,2,1,21,30,18,NA,35,35.89105225,241.7,236.2307631,8.481197958,8.826023933,0.102878078,2.192449573,2.113574165,35.89105225,6,1.420000017,1,2.840000033,33.02986526,31.29189682,400,400,388.7397156,35.44334793,37.9729538,70.44853973,75.47647858,500.2824707,1499.490234,250.2373047,100.5862274,-2.870872498,-0.231679678,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833804118,0.00219245,309.0410522,306.1798653,239.9184321,1.252443423,5.933130331,58.98551406,21.01256026,34.46045876,5.481784665,0.099281633,3.819556166,1.662228499,0.062364418,23.94487623,0.612371773,63.87054563,384.5992233,0.014465344,0,309.04105225
"w.c",2,1,18,400,269,12.25444444,400,2,1,121,41,18,NA,35,42.5508728,311.4,309.4077755,10.56861255,10.90882182,0.283186217,7.47382304,2.718316951,42.5508728,6,1.420000017,1,2.840000033,41.51588058,41.02108002,400,409,392.3873596,48.76081467,57.22354889,61.15824127,71.77262878,499.565094,1500.165527,101.4960938,100.7855377,3.413582802,-1.57824254,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83260849,0.007473823,315.7008728,314.6658806,240.026479,-1.196271788,8.485623096,84.19484867,26.97129978,42.03337669,8.257918579,0.257509095,5.767306145,2.490612434,0.163068643,31.24988643,0.790196711,68.65377992,387.2537978,0.019145739,0,315.7008728
"w.c",2,1,19,400,269,12.74444444,400,2,1,121,42,19,NA,36,43.00542831,296.6,294.3499432,10.70517595,11.05810966,0.266244534,7.380188974,2.833732809,43.00542831,6,1.420000017,1,2.840000033,42.29454041,42.00039673,400,399,382.348999,49.78230286,58.1337471,59.90139771,69.95041656,499.397522,1501.05188,105.1589966,100.7394791,3.617913246,-1.634783983,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832329203,0.007380189,316.1554283,315.4445404,240.1682954,-1.096303784,8.690096208,86.26306477,28.12931767,42.64998436,8.529847918,0.243424002,5.856363399,2.673484519,0.154037933,29.7335944,0.771947481,67.86621392,377.1527396,0.019670335,0,316.15542831
"w.c",2,1,20,400,269,13.18583333,400,2,1,121,43,20,NA,37,43.90228653,305.2,302.9513973,9.621757076,9.972338748,0.268768922,7.721552367,2.926240616,43.90228653,6,1.420000017,1,2.840000033,43.23006439,42.96589661,400,400,384.2009277,52.66832733,61.37322617,60.31481171,70.2835083,499.5570374,1500.626343,65.59368896,100.6925125,4.012200356,-1.799872637,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832595062,0.007721552,317.0522865,316.3800644,240.1002095,-1.264078001,9.106064959,90.4343802,29.06115403,43.56617546,8.948200437,0.245532478,6.179824344,2.768376094,0.155388961,30.58303537,0.790542095,68.23184406,379.5192689,0.0177067,0,317.05228653
"w.c",2,1,21,400,269,13.63805556,400,2,1,121,44,21,NA,38,44.36935806,310.2,308.0318279,9.059673131,9.410188485,0.279698269,8.314347205,3.031632101,44.36935806,6,1.420000017,1,2.840000033,44.20466614,44.14196777,400,399,384.2532349,53.20692444,62.56790924,57.89717102,68.08333588,499.5715332,1499.760498,112.2391586,100.6554871,4.168225288,-1.902552843,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832619222,0.008314347,317.5193581,317.3546661,239.9616743,-1.486141295,9.32943548,92.68680479,30.11889555,44.2870121,9.289714117,0.254621767,6.297803379,2.991910738,0.161216358,31.08021694,0.80357988,67.92841184,379.8387523,0.016607971,0,317.51935806
