Treat,DOY,Rep,Plant,Leaf,Leaf.unique,Tleaf,Vcmax,Jmax,Rday,Vcmax.25,Jmax.25,Rday.25,P270,P505
c.c,243,2,2,1,21,36.9,234.8152151,277.9234362,2.114342315,63.81253648,241.0141836,1.769009559,18.11185026,34.16884878
c.c,243,2,3,1,31,35.9,242.3390704,292.0610787,2.139839415,75.41846338,241.2296914,2.329712359,20.72367624,36.04332556
c.c,249,2,4,1,41,31.6,163.5558614,201.1605316,1.125891088,79.15814379,160.9174747,1.07770837,21.43832888,30.27526688
c.c,247,8,2,1,21,33,138.8942222,225.2249722,-0.221350956,58.13142068,178.1552805,-0.275539303,17.16195922,31.99305688
c.c,254,8,3,1,31,40.7,301.1094731,402.3646557,1.246687718,56.86554517,464.2917752,1.29723454,16.5197794,36.93872513
c.c,254,9,2,1,21,41.3,238.0266372,256.35112,0.475944457,42.23055973,320.9062467,0.456820043,12.73566785,28.25738195
c.c,254,9,3,1,31,42.9,213.1892019,269.4801492,1.77504348,31.51270651,372.2578252,1.838155888,8.238455355,20.73627899
c.c,251,10,2,1,21,41.4,305.5653428,344.4196558,1.792053115,54.91292268,423.2648302,2.037751552,15.10755704,34.86841034
c.c,254,10,3,1,31,41.1,290.3456258,373.4170083,1.378317351,52.75717355,451.1930708,1.436944173,15.06066756,34.24446845
c.w,261,1,1,1,11,33.8,113.1368362,130.6883165,2.297076854,44.76904728,104.0857899,2.356072103,10.64928209,18.60184724
c.w,261,1,2,1,21,32.3,156.057799,132.4898993,2.613290057,71.99359039,105.120319,2.593129478,13.6796658,19.08313455
c.w,261,2,1,1,11,36.7,143.0910805,140.0869367,2.761869365,39.92545543,118.2287273,2.892546927,9.772172138,18.32289565
c.w,261,2,2,1,21,38.5,279.0247563,216.5916907,6.239538732,65.35365962,217.81494,5.888529102,13.69254222,23.08445182
c.w,261,2,3,1,31,33.9,148.8414477,153.9437011,4.51742733,56.62219704,121.1652314,4.20927492,12.25649061,19.60006403
c.w,261,3,1,1,11,37.8,186.8011216,160.0918338,3.99268978,43.91486712,142.2448547,3.423178848,10.74876794,19.21510098
