DOY,Species,Time,Treat,CO2.meas,Plant,Leaf,Leaf.unique,Tset,Rep,Rep.total,Tleaf,Ci,Photo,Cond,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,TBlk,CO2.set,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R.W.m2.,Tl.Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci.Ca,RHsfc,C2sfc,AHs.Cs,EBal.,Tk
249,Tabebuia,13.21,w.w,800,3,1,131,36,9,9,37.5,425.6,22.7,0.12,2.7,2.31,37.5,6,1.420000017,1,2.840000033,35.98,36.15,800,801,771.52,38.26,41.37,64.71,69.96,500.3,1499.04,225.46,100.85,-7.84,-0.3,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0,310.65,309.13,239.85,1.18,6.48,64.25,22.88,36.74,6.22,0.11,4.17,2.04,0.07,42.59,0.55,63.88,760.61,0.02,0,310.65
251,Tabebuia,9.39,w.w,800,3,1,131,36,10,10,40.52,510.5,26.8,0.2,5.7,2.83,40.52,6,1.420000017,1,2.840000033,37.45,36.14,800,801,763.31,40.98,47.48,64.01,74.18,500.53,1499.51,339.35,100.93,-1.99,-0.52,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0.01,313.67,310.6,239.92,-0.6,7.62,75.52,28.04,38.99,7.02,0.19,4.79,2.23,0.12,51.34,0.67,63.1,750.46,0.02,0,313.67
251,Tabebuia,11.66,w.w,800,3,1,131,41,11,11,41.86,639.6,24.07,0.39,5.38,1.46,41.86,6,1.420000017,1,2.840000033,40.91,41.03,800,801,767.18,60.59,66.62,78.51,86.33,499.44,1499.47,129.61,100.83,0.78,-0.2,1,-0.22,2.74,1,0,0.16,111115,0.83,0.01,315.01,314.06,239.91,-0.12,8.18,81.14,14.51,41.38,7.98,0.34,6.72,1.26,0.22,64.38,0.83,83.02,755.63,0.03,0,315.01
251,Tabebuia,13.75,w.w,800,3,1,131,42,12,12,44.23,451.5,16.9,0.09,2.41,2.49,44.23,6,1.420000017,1,2.840000033,41.53,41.01,800,800,777.89,64.64,67.33,80.89,84.27,500.43,1500.16,164.26,100.62,2.04,-1.21,1,-0.22,2.74,1,0,0.16,111115,0.83,0,317.38,314.68,240.03,1.12,9.26,92.05,24.72,42.88,8.63,0.09,6.77,1.86,0.06,45,0.57,71.74,769.74,0.02,0,317.38
256,Tabebuia,9.96,w.w,800,3,1,131,30,14,14,33.83,392.1,21.97,0.1,1.96,1.96,33.83,6,1.420000017,1,2.840000033,31.04,30.1,800,801,772.44,30.66,32.93,68.57,73.65,500.29,1499.43,95.75,101.13,-0.35,-0.36,1,-0.22,2.74,1,0,0.16,111115,0.83,0,306.98,304.19,239.91,1.39,5.29,52.32,19.39,32.43,4.89,0.1,3.33,1.56,0.06,39.27,0.5,62.6,761.88,0.02,0,306.98
247,Tabebuia,10.41,w.w,800,5,1,151,24,1,1,28.42,628.9,17.17,0.23,3.44,1.61,28.42,6,1.420000017,1,2.840000033,26.01,25.02,800,801,776.89,18.51,22.55,55.43,67.52,500.22,1499.37,352.12,101.09,-8.55,0.27,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0,301.57,299.16,239.9,0.71,3.89,38.47,15.93,27.22,3.62,0.21,2.28,1.35,0.13,63.64,0.81,60.46,768.61,0.01,0,301.57
247,Tabebuia,11.91,w.w,800,5,1,151,27,2,2,30.4,579.2,18.38,0.18,3.25,1.89,30.4,6,1.420000017,1,2.840000033,27.87,26.99,800,799,773.76,20.66,24.46,55.44,65.63,500.34,1500.4,850.57,101.04,-8.92,0.22,1,-0.22,2.74,1,0,0.16,111115,0.83,0,303.55,301.02,240.06,0.78,4.36,43.16,18.69,29.14,4.05,0.17,2.47,1.58,0.11,58.6,0.75,57.82,764.91,0.01,0,303.55
248,Tabebuia,8.99,w.w,800,5,1,151,32,3,3,34.84,601.1,25.38,0.3,3.95,1.42,34.84,6,1.420000017,1,2.840000033,32.69,32.05,800,800,766.28,36.84,41.38,74.97,84.21,500.44,1499.59,219.01,101.06,-4.32,-0.13,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0,307.99,305.84,239.93,0.46,5.6,55.39,14.02,33.76,5.27,0.27,4.18,1.09,0.17,60.61,0.78,75.92,754.11,0.03,0,307.99
248,Tabebuia,10.33,w.w,800,5,1,151,34.5,4,4,38.65,577.3,26.54,0.28,5.49,2.05,38.65,6,1.420000017,1,2.840000033,35.85,34.57,800,801,764.06,41.72,47.99,71.24,81.95,500.35,1500.71,340.22,101.08,-3.17,-0.45,1,-0.22,2.74,1,0,0.16,111115,0.83,0.01,311.8,309,240.11,-0.44,6.9,68.22,20.23,37.25,6.39,0.26,4.85,1.54,0.16,58.22,0.75,71.35,751.33,0.03,0,311.8
248,Tabebuia,11.73,w.w,800,5,1,151,36,5,5,42.01,523.5,24.31,0.19,5.46,2.83,41.68,6,1.420000017,1,2.840000033,38.01,36.23,800,800,765.91,46.07,52.27,69.86,79.27,500.43,1499.25,214.23,100.99,-2.8,-0.69,1,-0.22,2.74,1,0,0.16,111115,0.83,0.01,314.83,311.16,239.88,-0.57,8.11,80.28,28.01,39.84,7.35,0.18,5.28,2.07,0.11,52.67,0.68,65.03,754.25,0.02,0,315.16
249,Tabebuia,12.19,w.w,800,5,1,151,34,6,6,35.31,607.1,26.21,0.32,4.33,1.43,35.31,6,1.420000017,1,2.840000033,34.07,34,800,801,765.31,37.77,42.75,71.12,80.49,500.27,1500.73,233.92,100.97,-6.62,-0.23,1,-0.22,2.74,1,0,0.16,111115,0.83,0,308.46,307.22,240.12,0.39,5.74,56.9,14.15,34.69,5.55,0.29,4.32,1.23,0.18,61.18,0.79,76.51,752.74,0.03,0,308.46
249,Tabebuia,13.73,w.w,800,5,1,151,36,7,7,37.57,541.1,24.96,0.21,3.96,1.95,37.57,6,1.420000017,1,2.840000033,36.27,36.14,800,800,766.92,40.61,45.15,67.57,75.12,500.19,1499.97,362.3,100.78,-7.2,-0.4,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0,310.72,309.42,239.99,0.56,6.5,64.53,19.38,36.92,6.28,0.19,4.55,1.73,0.12,54.34,0.7,70.39,754.94,0.02,0,310.72
251,Tabebuia,8.2,w.w,800,5,1,151,26,8,8,28.68,616,20.61,0.24,1.85,0.82,28.68,6,1.420000017,1,2.840000033,26.51,26.01,800,801,774.3,28.86,31.01,83.75,89.98,500.21,1499.88,311.72,100.89,-2.03,0.64,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0,301.83,299.66,239.98,1.57,3.95,39.14,8.13,27.6,3.71,0.22,3.13,0.58,0.14,61.98,0.79,80.12,764.39,0.02,0,301.83
251,Tabebuia,9.89,w.w,800,5,1,151,38,9,9,41.38,596.2,25.26,0.32,8.21,2.66,41.38,6,1.420000017,1,2.840000033,39.37,38.09,800,801,763.28,43.35,52.68,61.06,74.2,500.41,1498.9,825.36,100.94,-0.27,-0.79,0.67,-0.22,2.74,1,0,0.16,111125,0.83,0.01,314.53,312.52,239.82,-1.72,7.98,79.04,26.36,40.37,7.56,0.29,5.32,2.25,0.18,60.05,0.78,67.96,751.16,0.02,0,314.53
251,Tabebuia,12.08,w.w,800,5,1,151,42,10,10,43.35,631.3,23.15,0.36,6.16,1.79,43.35,6,1.420000017,1,2.840000033,42.22,42,800,800,766.8,63.08,69.97,76.23,84.55,499.49,1498.93,103.46,100.8,2.58,-1.39,1,-0.22,2.74,1,0,0.16,111115,0.83,0.01,316.5,315.37,239.83,-0.55,8.85,87.77,17.8,42.79,8.59,0.32,7.05,1.54,0.2,63.52,0.82,80.45,755.68,0.02,0,316.5
251,Tabebuia,12.48,w.w,800,5,1,151,42.5,11,11,44.68,633.6,21.63,0.35,7,2.08,44.68,6,1.420000017,1,2.840000033,43.19,42.58,800,800,768.11,65.64,73.44,75.39,84.34,499.51,1498.49,169.92,100.75,2.77,-1.57,0.67,-0.22,2.74,1,0,0.16,111115,0.83,0.01,317.83,316.34,239.76,-1.03,9.48,94.08,20.64,43.93,9.12,0.31,7.4,1.72,0.2,63.72,0.82,78.67,757.72,0.02,0,317.83
254,Tabebuia,10.93,w.w,800,5,1,151,37,12,12,38.89,603.7,25.15,0.32,6.43,2.11,38.89,6,1.420000017,1,2.840000033,37.53,37.12,800,801,764.58,40.99,48.33,63.76,75.17,500.41,1498.9,574.49,100.93,-2.05,-0.64,1,-0.22,2.74,1,0,0.16,111115,0.83,0.01,312.04,310.68,239.82,-0.71,6.99,69.22,20.89,38.21,6.73,0.29,4.88,1.86,0.18,60.81,0.79,71.21,752.51,0.02,0,312.04
